"","","",2014 Approved Positions ,"",Change from 2013,""
"",2012 Council Approved Positions ,2013 Council Approved Positions,(includes Base & New positions) ,"",(decrease),""
Division ,Permanent Temporary Total ,Permanent Temporary Total ,Permanent Temporary Total ,Permanent ,Temporary Total ,%
"Citizen Centred Services ""A""","","","","","",""
Affordable Housing Office ,15.0 4.0 19.0 ,15.0 4.0 19.0 ,15.0 4.0 19.0 ,0.0 ,0.0 0.0 ,0.0
Children's Services ,747.0 180.8 927.8 ,731.0 191.4 922.4 ,715.0 227.7 942.7 ,(16.0) ,36.3 20.3 ,2.2
Court Services ,284.0 0.0 284.0 ,282.0 0.0 282.0 ,282.0 0.0 282.0 ,0.0 ,0.0 0.0 ,0.0
Economic Development & Culture ,215.0 51.8 266.8 ,213.0 51.8 264.8 ,228.0 61.0 289.0 ,15.0 ,9.2 24.2 ,9.1
Emergency Medical Services ,"1,206.5 6.5 1,213.0 ","1,257.5 6.5 1,264.0 ","1,318.5 6.5 1,325.0 ",61.0 ,0.0 61.0 ,4.8
Long Term Care Homes & Services ,"2,169.9 0.0 2,169.9 ","2,151.3 0.0 2,151.3 ","2,179.7 0.0 2,179.7 ",28.4 ,0.0 28.4 ,1.3
"Parks, Forestry & Recreation ","1,781.0 2,421.2 4,202.2 ","1,841.0 2,365.0 4,206.0 ","1,874.0 2,473.6 4,347.6 ",33.0 ,108.6 141.6 ,3.4
"Shelter, Support & Housing Administration ",548.7 186.5 735.2 ,543.0 180.9 723.9 ,547.0 171.6 718.6 ,4.0 ,(9.3) (5.3) ,(0.7)
"Social Development, Finance & Administratio ",115.5 4.9 120.4 ,118.5 9.1 127.6 ,121.5 4.8 126.3 ,3.0 ,(4.3) (1.3) ,(1.0)
Toronto Employment & Social Services ,"1,966.0 221.5 2,187.5 ","2,029.0 157.0 2,186.0 ","2,042.0 106.5 2,148.5 ",13.0 ,(50.5) (37.5) ,(1.7)
"Sub-Total Citizen Centred Services ""A"" ","9,048.6 3,077.2 12,125.8 ","9,181.3 2,965.7 12,147.0 ","9,322.7 3,055.6 12,378.3 ",141.4 ,89.9 231.3 ,1.9
"Citizen Centred Services ""B""","","","","","",""
City Planning ,324.0 16.0 340.0 ,326.0 13.0 339.0 ,339.0 13.0 352.0 ,13.0 ,0.0 13.0 ,3.8
Fire Services ,"3,175.5 0.8 3,176.3 ","3,169.5 1.3 3,170.8 ","3,124.5 2.3 3,126.8 ",(45.0) ,1.0 (44.0) ,(1.4)
Municipal Licensing and Standards ,451.6 1.0 452.6 ,451.6 1.0 452.6 ,455.0 1.0 456.0 ,3.4 ,0.0 3.4 ,0.8
"Policy, Planning, Finance and Administration ",188.3 6.8 195.1 ,196.4 2.8 199.1 ,194.4 6.1 200.4 ,(2.0) ,3.3 1.3 ,0.7
Engineering & Construction Services ,147.8 0.0 147.8 ,135.8 4.0 139.8 ,129.8 4.0 133.8 ,(6.0) ,0.0 (6.0) ,(4.3)
Toronto Building ,413.0 7.0 420.0 ,418.0 7.0 425.0 ,418.0 7.0 425.0 ,0.0 ,0.0 0.0 ,0.0
Transportation Services ,"1,017.5 29.7 1,047.2 ","996.0 36.4 1,032.4 ","1,013.0 42.4 1,055.4 ",17.0 ,6.0 23.0 ,2.2
"Sub-Total Citizen Centred Services ""B"" ","5,717.7 61.3 5,779.0 ","5,693.2 65.5 5,758.7 ","5,673.6 75.8 5,749.4 ",(19.6) ,10.3 (9.3) ,(0.2)
Internal Services,"","","","","",""
Office of the Chief Financial Officer ,94.0 1.0 95.0 ,96.0 0.0 96.0 ,100.0 0.0 100.0 ,4.0 ,0.0 4.0 ,4.2
