Division/Program ,2014 Council Approved Complement ,"",2015 Council Approved Complement ,2016 Council Approved Positions ,Change from 2015 to 2016
"",Permanent Temporary Total ,"",Permanent Temporary Total ,Permanent Temporary Total ,Permanent Temporary Total
"Citizen Centred Services ""A""","","","","",""
Affordable Housing Office ,15.0 4.0 19.0 ,"",15.0 4.0 19.0 ,15.0 4.0 19.0,""
Children's Services ,715.0 240.7 955.7 ,"",917.6 65.0 982.6 ,951.3 39.5 990.8 ,33.7 (25.5) 8.2
Court Services ,282.0 282.0 ,"",282.0 282.0 ,282.0 282.0,""
Economic Development & Culture ,240.0 65.0 305.0 ,"",240.0 69.6 309.6 ,249.0 58.5 307.5 ,9.0 (11.1) (2.1)
Toronto Paramedic Services ,"1,318.5 10.3 1,328.8 ","","1,378.8 15.5 1,394.3 ","1,438.8 6.5 1,445.3 ",60.0 (9.0) 51.0
Long Term Care Homes & Services ,"2,179.8 2,179.8 ","","2,225.9 2,225.9 ","2,372.0 2,372.0 ",146.1 146.1
"Parks, Forestry & Recreation ","1,908.0 2,461.6 4,369.6 ","","1,937.0 2,560.1 4,497.1 ","1,959.1 2,648.1 4,607.2 ",22.1 88.0 110.1
"Shelter, Support & Housing Administration ",561.0 157.6 718.6 ,"",615.0 142.3 757.3 ,615.2 142.3 757.5 ,0.1 0.2
"Social Development, Finance & Administration ",119.5 7.0 126.5 ,"",121.5 9.0 130.5 ,127.5 10.0 137.5 ,6.0 1.0 7.0
Toronto Employment & Social Services ,"2,042.0 109.5 2,151.5 ","","2,009.0 82.0 2,091.0 ","2,007.0 113.0 2,120.0 ",(2.0) 31.0 29.0
"Sub-Total Citizen Centred Services ""A"" ","9,380.8 3,055.7 12,436.4 ","","9,741.8 2,947.5 12,689.3 ","10,016.8 3,021.9 13,038.7 ",275.0 74.4 349.4
Cluster B,"","","","",""
City Planning ,343.0 21.5 364.5 ,"",351.0 22.0 373.0 ,353.0 19.0 372.0 ,2.0 (3.0) (1.0)
Fire Services ,"3,124.5 2.3 3,126.8 ","","3,148.0 8.3 3,156.3 ","3,165.0 3.3 3,168.3 ",17.0 (5.0) 12.0
Municipal Licensing & Standards ,457.0 1.0 458.0 ,"",459.0 1.0 460.0 ,459.0 1.0 460.0,""
"Policy, Planning, Finance & Administration ",195.0 7.4 202.4 ,"",189.0 7.4 196.4 ,189.0 7.4 196.4,""
Engineering & Construction Services ,527.0 14.1 541.1 ,"",526.0 14.1 540.1 ,534.0 32.1 566.1 ,8.0 18.0 26.0
