Affordable Housing Office ,15,4
Children's Services ,951.3,39.5
Court Services ,282,
Economic Development & Culture ,249,58.5
Toronto Paramedic Services ,1438.8,6.5
Long Term Care Homes & Services ,2372,
"Parks, Forestry & Recreation ",1959.1,2648.1
"Shelter, Support & Housing Administration",615.2,142.3
"Social Development, Finance & Administration",127.5,10
Toronto Employment & Social Services ,2007,113
City Planning ,353,19
Fire Services ,3165,3.3
Municipal Licensing & Standards ,459,1
"Policy, Planning, Finance & Administration ",189,7.4
Engineering & Construction Services ,534,32.1
Toronto Building ,444,12
Transportation Services ,1071.6,51.4
Office of the Chief Financial Officer ,102,13
Office of the Treasurer ,656,68.2
"Facilities, Real Estate, Environment & Energy ",955.2,67.3
Fleet Services ,175,9
Information & Technology ,635,215
311 Toronto ,125,41.3
City Manager's Office ,403,29
City Clerk's Office ,399.1,14.9
Legal Services ,274,32.4
Mayor's Office ,1,19
City Council ,44,136
Auditor General's Office ,31.5,
Office of the Lobbyist Registrar ,8,0.3
Integrity Commissioner's Office ,3,
Office of the Ombudsman ,12,
Toronto Public Health ,1822,50
Toronto Public Library ,1741,
Association of Community Centres ,77.9,
Exhibition Place ,190,171
Heritage Toronto ,7,
Theatres ,87.1,84.8
Toronto Zoo ,277.7,116.3
Arena Boards of Management ,44.3,23.4
Yonge-Dundas Square ,6,0.5
Parking Tag Enforcement & Operations ,394,
Toronto & Region Conservation Authority ,334,85.6
Toronto Atmospheric Fund ,8,
Toronto Transit Commission - Conventional ,13858,117
Toronto Transit Commission - Wheel Trans ,565,
Toronto Police Service ,7881,
Toronto Police Services Board ,7,
Solid Waste Management Services ,988.5,120.2
Toronto Water ,1653,103.7
Toronto Parking Authority ,249.1,53.3
