311 Toronto ,Capital,Permanent,21.3
311 Toronto ,Capital,Temporary,
Affordable Housing Office,Capital,Permanent,
Affordable Housing Office,Capital,Temporary,
Arena Boards of Management,Capital,Permanent,
Arena Boards of Management,Capital,Temporary,
Association of Community Centres,Capital,Permanent,
Association of Community Centres,Capital,Temporary,
Auditor General's Office,Capital,Permanent,
Auditor General's Office,Capital,Temporary,
Children's Services ,Capital,Permanent,13
Children's Services ,Capital,Temporary,
City Clerk's Office ,Capital,Permanent,10.4
City Clerk's Office ,Capital,Temporary,
City Council,Capital,Permanent,
City Council,Capital,Temporary,
City Manager's Office ,Capital,Permanent,19
City Manager's Office ,Capital,Temporary,
City Planning ,Capital,Permanent,4
City Planning ,Capital,Temporary,
Court Services,Capital,Permanent,
Court Services,Capital,Temporary,
Economic Development & Culture ,Capital,Permanent,9
Economic Development & Culture ,Capital,Temporary,1
Engineering & Construction Services ,Capital,Permanent,413.7
Engineering & Construction Services ,Capital,Temporary,20.5
Exhibition Place ,Capital,Permanent,5
Exhibition Place ,Capital,Temporary,
"Facilities, Real Estate, Environment & Energy ",Capital,Permanent,61
"Facilities, Real Estate, Environment & Energy ",Capital,Temporary,34
Fire Services,Capital,Permanent,
Fire Services,Capital,Temporary,
Fleet Services ,Capital,Permanent,8
Fleet Services ,Capital,Temporary,
Heritage Toronto,Capital,Permanent,
Heritage Toronto,Capital,Temporary,
Information & Technology ,Capital,Permanent,19
Information & Technology ,Capital,Temporary,212
Integrity Commissioner's Office,Capital,Permanent,
Integrity Commissioner's Office,Capital,Temporary,
Internal Services,Capital,Permanent,
Internal Services,Capital,Temporary,
Legal Services ,Capital,Permanent,0.5
Legal Services ,Capital,Temporary,
Long Term Care Homes & Services,Capital,Permanent,
Long Term Care Homes & Services,Capital,Temporary,
Mayor's Office,Capital,Permanent,
Mayor's Office,Capital,Temporary,
Municipal Licensing & Standards,Capital,Permanent,
Municipal Licensing & Standards,Capital,Temporary,
Office of the Chief Financial Officer ,Capital,Permanent,1
Office of the Chief Financial Officer ,Capital,Temporary,11
Office of the Lobbyist Registrar,Capital,Permanent,
Office of the Lobbyist Registrar,Capital,Temporary,
Office of the Ombudsman,Capital,Permanent,
Office of the Ombudsman,Capital,Temporary,
Office of the Treasurer ,Capital,Permanent,44
Office of the Treasurer ,Capital,Temporary,
Parking Tag Enforcement & Operations,Capital,Permanent,
Parking Tag Enforcement & Operations,Capital,Temporary,
"Parks, Forestry & Recreation ",Capital,Permanent,40
"Parks, Forestry & Recreation ",Capital,Temporary,63.7
"Policy, Planning, Finance & Administration",Capital,Permanent,
"Policy, Planning, Finance & Administration",Capital,Temporary,
"Shelter, Support & Housing Administration ",Capital,Permanent,1
"Shelter, Support & Housing Administration ",Capital,Temporary,
"Social Development, Finance & Administration",Capital,Permanent,
"Social Development, Finance & Administration",Capital,Temporary,
"Sub-Total Citizen Centred Services ""B"" ",Capital,Permanent,493.5
"Sub-Total Citizen Centred Services ""B"" ",Capital,Temporary,37.2
Theatres,Capital,Permanent,
Theatres,Capital,Temporary,
Toronto & Region Conservation Authority,Capital,Permanent,
Toronto & Region Conservation Authority,Capital,Temporary,
Toronto Atmospheric Fund,Capital,Permanent,
Toronto Atmospheric Fund,Capital,Temporary,
Toronto Building,Capital,Permanent,
Toronto Building,Capital,Temporary,
Toronto Employment & Social Services,Capital,Permanent,
Toronto Employment & Social Services,Capital,Temporary,
Toronto Paramedic Services ,Capital,Permanent,0.5
Toronto Paramedic Services ,Capital,Temporary,
Toronto Police Service,Capital,Permanent,
Toronto Police Service,Capital,Temporary,
Toronto Police Services Board,Capital,Permanent,
Toronto Police Services Board,Capital,Temporary,
Toronto Public Health ,Capital,Permanent,21.9
Toronto Public Health ,Capital,Temporary,
Toronto Public Library ,Capital,Permanent,5
Toronto Public Library ,Capital,Temporary,
Toronto Transit Commission - Conventional ,Capital,Permanent,1998
Toronto Transit Commission - Conventional ,Capital,Temporary,107
Toronto Transit Commission - Wheel Trans,Capital,Permanent,
Toronto Transit Commission - Wheel Trans,Capital,Temporary,
Toronto Zoo,Capital,Permanent,
Toronto Zoo,Capital,Temporary,
Transportation Services ,Capital,Permanent,79.9
Transportation Services ,Capital,Temporary,12.7
Yonge-Dundas Square,Capital,Permanent,
Yonge-Dundas Square,Capital,Temporary,
