Affordable Housing Office,
Children's Services ,13.0 13.0 
Court Services,
Economic Development & Culture ,9.0 1.0 10.0 
Toronto Paramedic Services ,0.5 0.5
Long Term Care Homes & Services,
"Parks, Forestry & Recreation ",40.0 63.7 103.7 
"Shelter, Support & Housing Administration ",1.0 1.0
"Social Development, Finance & Administration",
Toronto Employment & Social Services,
City Planning ,4.0 4.0 
Fire Services,
Municipal Licensing & Standards,
"Policy, Planning, Finance & Administration",
Engineering & Construction Services ,413.7 20.5 434.2 
Toronto Building,
Transportation Services ,79.9 12.7 92.6 
"Sub-Total Citizen Centred Services ""B"" ",493.5 37.2 530.7 
Internal Services,
Office of the Chief Financial Officer ,1.0 11.0 12.0
Office of the Treasurer ,44.0 44.0
"Facilities, Real Estate, Environment & Energy ",61.0 34.0 95.0 
Fleet Services ,8.0 8.0 
Information & Technology ,19.0 212.0 231.0 
311 Toronto ,21.3 21.3
City Manager's Office ,19.0 19.0 
City Clerk's Office ,10.4 10.4 
Legal Services ,0.5 0.5
Mayor's Office,
City Council,
Auditor General's Office,
Office of the Lobbyist Registrar,
Integrity Commissioner's Office,
Office of the Ombudsman,
Toronto Public Health ,21.9 21.9 
Toronto Public Library ,5.0 5.0 
Association of Community Centres,
Exhibition Place ,5.0 5.0
Heritage Toronto,
Theatres,
Toronto Zoo,
Arena Boards of Management,
Yonge-Dundas Square,
Parking Tag Enforcement & Operations,
Toronto & Region Conservation Authority,
Toronto Atmospheric Fund,
Toronto Transit Commission - Conventional ,"1,998.0 107.0 2,105.0 "
Toronto Transit Commission - Wheel Trans,
Toronto Police Service,
Toronto Police Services Board,
