Division/Program ,2015 Council Approved Complement ,2016 BC Recommended Positions ,"",Change from 2015 to 2016
"",Permanent Temporary Total ,Permanent Temporary Total ,"",Permanent Temporary Total
"Citizen Centred Services ""A""","","","",""
Affordable Housing Office,"","","",""
Children's Services ,11.0 11.0 ,13.0 13.0 ,"",2.0 2.0
Court Services,"","","",""
Economic Development & Culture ,9.0 9.0 ,9.0 1.0 10.0 ,"",1.0 1.0
Toronto Paramedic Services ,0.5 0.5 ,0.5 0.5,"",""
Long Term Care Homes & Services,"","","",""
"Parks, Forestry & Recreation ",39.0 16.4 55.4 ,40.0 63.7 103.7 ,"",1.0 47.3 48.3
"Shelter, Support & Housing Administration ",1.0 1.0 ,1.0 1.0,"",""
"Social Development, Finance & Administration","","","",""
Toronto Employment & Social Services,"","","",""
"Sub-Total Citizen Centred Services ""A"" ",48.0 28.9 76.9 ,49.0 79.2 128.2 ,"",1.0 50.3 51.3
Cluster B,"","","",""
City Planning ,7.0 7.0 ,4.0 4.0 ,"",(3.0) (3.0)
Fire Services,"","","",""
Municipal Licensing & Standards,"","","",""
"Policy, Planning, Finance & Administration","","","",""
Engineering & Construction Services ,407.7 9.5 417.2 ,413.7 20.5 434.2 ,"",6.0 11.0 17.0
Toronto Building,"","","",""
Transportation Services ,76.9 7.7 84.6 ,79.9 12.7 92.6 ,"",3.0 5.0 8.0
"Sub-Total Citizen Centred Services ""B"" ",484.5 24.2 508.7 ,493.5 37.2 530.7 ,"",9.0 13.0 22.0
Internal Services,"","","",""
Office of the Chief Financial Officer ,1.0 11.0 12.0 ,1.0 11.0 12.0,"",""
Office of the Treasurer ,44.0 44.0 ,44.0 44.0,"",""
"Facilities, Real Estate, Environment & Energy ",61.0 26.8 87.8 ,61.0 34.0 95.0 ,"",7.3 7.3
Fleet Services ,"",8.0 8.0 ,"",8.0 8.0
Information & Technology ,19.0 217.0 236.0 ,19.0 212.0 231.0 ,"",(5.0) (5.0)
311 Toronto ,21.3 21.3 ,21.3 21.3,"",""
Sub-Total Internal Services ,81.0 316.0 397.0 ,81.0 330.3 411.3 ,"",10.3 10.3
City Manager,"","","",""
City Manager's Office ,17.0 17.0 ,19.0 19.0 ,"",2.0 2.0
Sub-Total City Manager ,17.0 17.0 ,19.0 19.0 ,"",2.0 2.0
Other City Programs,"","","",""
City Clerk's Office ,11.0 11.0 ,10.4 10.4 ,"",(0.6) (0.6)
Legal Services ,0.5 0.5 ,0.5 0.5,"",""
Mayor's Office,"","","",""
City Council,"","","",""
Auditor General's Office,"","","",""
Office of the Lobbyist Registrar,"","","",""
Integrity Commissioner's Office,"","","",""
Office of the Ombudsman,"","","",""
Sub-Total Other City Programs ,0.5 11.0 11.5 ,0.5 10.4 10.9 ,"",(0.6) (0.6)
TOTAL - CITY OPERATIONS ,"614.0 397.1 1,011.1 ","624.0 476.0 1,100.0 ","",10.0 74.9 84.9
Agencies,"","","",""
Toronto Public Health ,33.3 33.3 ,21.9 21.9 ,"",(11.4) (11.4)
Toronto Public Library ,"",5.0 5.0 ,"",5.0 5.0
Association of Community Centres,"","","",""
Exhibition Place ,5.0 5.0 ,5.0 5.0,"",""
Heritage Toronto,"","","",""
Theatres,"","","",""
Toronto Zoo,"","","",""
Arena Boards of Management,"","","",""
Yonge-Dundas Square,"","","",""
Parking Tag Enforcement & Operations,"","","",""
Toronto & Region Conservation Authority,"","","",""
Toronto Atmospheric Fund,"","","",""
Toronto Transit Commission - Conventional ,"1,929.0 92.0 2,021.0 ","1,998.0 107.0 2,105.0 ","",69.0 15.0 84.0
Toronto Transit Commission - Wheel Trans,"","","",""
Toronto Police Service,"","","",""
Toronto Police Services Board,"","","",""
Sub-Total Agencies ,"1,934.0 125.3 2,059.3 ","2,008.0 128.9 2,136.9 ","",74.0 3.6 77.6
Total Tax Supported Operations ,"2,548.0 522.5 3,070.5 ","2,632.0 571.9 3,204.0 ","",84.0 78.5 162.5
