311 Toronto ,Operating,Permanent,125
311 Toronto ,Operating,Temporary,20
Affordable Housing Office ,Operating,Permanent,15
Affordable Housing Office ,Operating,Temporary,4
Arena Boards of Management ,Operating,Permanent,44.3
Arena Boards of Management ,Operating,Temporary,23.4
Association of Community Centres ,Operating,Permanent,77.9
Association of Community Centres ,Operating,Temporary,
Auditor General's Office ,Operating,Permanent,31.5
Auditor General's Office ,Operating,Temporary,
Children's Services ,Operating,Permanent,951.3
Children's Services ,Operating,Temporary,26.5
City Clerk's Office ,Operating,Permanent,399.1
City Clerk's Office ,Operating,Temporary,4.5
City Council ,Operating,Permanent,44
City Council ,Operating,Temporary,136
City Manager's Office ,Operating,Permanent,403
City Manager's Office ,Operating,Temporary,10
City Planning ,Operating,Permanent,353
City Planning ,Operating,Temporary,15
Court Services ,Operating,Permanent,282
Court Services ,Operating,Temporary,
Economic Development & Culture ,Operating,Permanent,240
Economic Development & Culture ,Operating,Temporary,57.5
Engineering & Construction Services ,Operating,Permanent,120.3
Engineering & Construction Services ,Operating,Temporary,11.6
Exhibition Place ,Operating,Permanent,185
Exhibition Place ,Operating,Temporary,171
"Facilities, Real Estate, Environment & Energy ",Operating,Permanent,894.2
"Facilities, Real Estate, Environment & Energy ",Operating,Temporary,33.3
Fire Services ,Operating,Permanent,3165
Fire Services ,Operating,Temporary,3.3
Fleet Services ,Operating,Permanent,175
Fleet Services ,Operating,Temporary,1
Heritage Toronto ,Operating,Permanent,7
Heritage Toronto ,Operating,Temporary,
Information & Technology ,Operating,Permanent,616
Information & Technology ,Operating,Temporary,3
Integrity Commissioner's Office ,Operating,Permanent,3
Integrity Commissioner's Office ,Operating,Temporary,
Legal Services ,Operating,Permanent,273.5
Legal Services ,Operating,Temporary,32.4
Long Term Care Homes & Services ,Operating,Permanent,2372
Long Term Care Homes & Services ,Operating,Temporary,
Mayor's Office ,Operating,Permanent,1
Mayor's Office ,Operating,Temporary,19
Municipal Licensing & Standards ,Operating,Permanent,459
Municipal Licensing & Standards ,Operating,Temporary,1
Office of the Chief Financial Officer ,Operating,Permanent,101
Office of the Chief Financial Officer ,Operating,Temporary,2
Office of the Lobbyist Registrar ,Operating,Permanent,8
Office of the Lobbyist Registrar ,Operating,Temporary,0.3
Office of the Ombudsman ,Operating,Permanent,12
Office of the Ombudsman ,Operating,Temporary,
Office of the Treasurer ,Operating,Permanent,656
Office of the Treasurer ,Operating,Temporary,24.2
Parking Tag Enforcement & Operations ,Operating,Permanent,394
Parking Tag Enforcement & Operations ,Operating,Temporary,
"Parks, Forestry & Recreation ",Operating,Permanent,1919.1
"Parks, Forestry & Recreation ",Operating,Temporary,2584.4
"Policy, Planning, Finance & Administration ",Operating,Permanent,189
"Policy, Planning, Finance & Administration ",Operating,Temporary,7.4
"Shelter, Support & Housing Administration ",Operating,Permanent,615.2
"Shelter, Support & Housing Administration ",Operating,Temporary,141.3
"Social Development, Finance & Administration ",Operating,Permanent,127.5
"Social Development, Finance & Administration ",Operating,Temporary,9
Theatres ,Operating,Permanent,87.1
Theatres ,Operating,Temporary,84.8
Toronto & Region Conservation Authority ,Operating,Permanent,334
Toronto & Region Conservation Authority ,Operating,Temporary,85.6
Toronto Atmospheric Fund ,Operating,Permanent,8
Toronto Atmospheric Fund ,Operating,Temporary,
Toronto Building ,Operating,Permanent,444
Toronto Building ,Operating,Temporary,12
Toronto Employment & Social Services ,Operating,Permanent,2007
Toronto Employment & Social Services ,Operating,Temporary,113
Toronto Paramedic Services ,Operating,Permanent,1438.8
Toronto Paramedic Services ,Operating,Temporary,6
Toronto Police Service ,Operating,Permanent,7881
Toronto Police Service ,Operating,Temporary,
Toronto Police Services Board ,Operating,Permanent,7
Toronto Police Services Board ,Operating,Temporary,
Toronto Public Health ,Operating,Permanent,1822
Toronto Public Health ,Operating,Temporary,28
Toronto Public Library ,Operating,Permanent,1736
Toronto Public Library ,Operating,Temporary,
Toronto Transit Commission - Conventional ,Operating,Permanent,11860
Toronto Transit Commission - Conventional ,Operating,Temporary,10
Toronto Transit Commission - Wheel Trans ,Operating,Permanent,565
Toronto Transit Commission - Wheel Trans ,Operating,Temporary,
Toronto Zoo ,Operating,Permanent,277.7
Toronto Zoo ,Operating,Temporary,116.3
Transportation Services ,Operating,Permanent,991.8
Transportation Services ,Operating,Temporary,38.7
Yonge-Dundas Square ,Operating,Permanent,6
Yonge-Dundas Square ,Operating,Temporary,0.5
