Affordable Housing Office ,15.0,4.0,19.0
Children's Services ,951.3,26.5,977.8
Court Services ,282.0,,282.0
Economic Development & Culture ,240.0,57.5,297.5
Toronto Paramedic Services ,1438.8,6.0,1444.8
Long Term Care Homes & Services ,2372.0,,2372.0
"Parks, Forestry & Recreation ",1919.1,2584.4,4503.5
"Shelter, Support & Housing Administration ",615.2,141.3,756.5
"Social Development, Finance & Administration ",127.5,9.0,136.5
Toronto Employment & Social Services ,2007.0,113.0,2120.0
City Planning ,353.0,15.0,368.0
Fire Services ,3165.0,3.3,3168.3
Municipal Licensing & Standards ,459.0,1.0,460.0
"Policy, Planning, Finance & Administration ",189.0,7.4,196.4
Engineering & Construction Services ,120.3,11.6,131.9
Toronto Building ,444.0,12.0,456.0
Transportation Services ,991.8,38.7,1030.5
Office of the Chief Financial Officer ,101.0,2.0,103.0
Office of the Treasurer ,656.0,24.2,680.2
"Facilities, Real Estate, Environment & Energy ",894.2,33.3,927.5
Fleet Services ,175.0,1.0,176.0
Information & Technology ,616.0,3.0,619.0
311 Toronto ,125.0,20.0,145.0
City Manager's Office ,403.0,10.0,413.0
City Clerk's Office ,399.1,4.5,403.6
Legal Services ,273.5,32.4,305.9
Mayor's Office ,1.0,19.0,20.0
City Council ,44.0,136.0,180.0
Auditor General's Office ,31.5,,31.5
Office of the Lobbyist Registrar ,8.0,0.3,8.3
Integrity Commissioner's Office ,3.0,,3.0
Office of the Ombudsman ,12.0,,12.0
Toronto Public Health ,1822.0,28.0,1850.0
Toronto Public Library ,1736.0,,1736.0
Association of Community Centres ,77.9,,77.9
Exhibition Place ,185.0,171.0,356.0
Heritage Toronto ,7.0,,7.0
Theatres ,87.1,84.8,171.9
Toronto Zoo ,277.7,116.3,394.0
Arena Boards of Management ,44.3,23.4,67.7
Yonge-Dundas Square ,6.0,0.5,6.5
Parking Tag Enforcement & Operations ,394.0,,394.0
Toronto & Region Conservation Authority ,334.0,85.6,419.6
Toronto Atmospheric Fund ,8.0,,8.0
Toronto Transit Commission - Conventional ,11860.0,10.0,11870.0
Toronto Transit Commission - Wheel Trans ,565.0,,565.0
Toronto Police Service ,7881.0,,7881.0
Toronto Police Services Board ,7.0,,7.0
