Division/Program ,2015 Council Approved Complement ,2016 BC Recommended Positions ,"",Change from 2015 to 2016
"",Permanent Temporary Total ,Permanent Temporary Total ,"",Permanent Temporary Total
"Citizen Centred Services ""A""","","","",""
Affordable Housing Office ,15.0 4.0 19.0 ,15.0 4.0 19.0,"",""
Children's Services ,917.6 54.0 971.6 ,951.3 26.5 977.8 ,"",33.7 (27.5) 6.2
Court Services ,282.0 282.0 ,282.0 282.0,"",""
Economic Development & Culture ,231.0 69.6 300.6 ,240.0 57.5 297.5 ,"",9.0 (12.1) (3.1)
Toronto Paramedic Services ,"1,378.8 15.0 1,393.8 ","1,438.8 6.0 1,444.8 ","",60.0 (9.0) 51.0
Long Term Care Homes & Services ,"2,225.9 2,225.9 ","2,372.0 2,372.0 ","",146.1 146.1
"Parks, Forestry & Recreation ","1,898.0 2,543.7 4,441.7 ","1,919.1 2,584.4 4,503.5 ","",21.1 40.7 61.8
"Shelter, Support & Housing Administration ",615.0 141.3 756.3 ,615.2 141.3 756.5 ,"",0.1 0.2
"Social Development, Finance & Administration ",121.5 9.0 130.5 ,127.5 9.0 136.5 ,"",6.0 6.0
Toronto Employment & Social Services ,"2,009.0 82.0 2,091.0 ","2,007.0 113.0 2,120.0 ","",(2.0) 31.0 29.0
"Sub-Total Citizen Centred Services ""A"" ","9,693.8 2,918.6 12,612.4 ","9,967.8 2,941.7 12,909.6 ","",274.0 23.1 297.1
Cluster B,"","","",""
City Planning ,351.0 15.0 366.0 ,353.0 15.0 368.0 ,"",2.0 2.0
Fire Services ,"3,148.0 8.3 3,156.3 ","3,165.0 3.3 3,168.3 ","",17.0 (5.0) 12.0
Municipal Licensing & Standards ,459.0 1.0 460.0 ,459.0 1.0 460.0,"",""
"Policy, Planning, Finance & Administration ",189.0 7.4 196.4 ,189.0 7.4 196.4,"",""
Engineering & Construction Services ,118.3 4.6 122.9 ,120.3 11.6 131.9 ,"",2.0 7.0 9.0
Toronto Building ,436.0 12.0 448.0 ,444.0 12.0 456.0 ,"",8.0 8.0
Transportation Services ,"991.8 37.0 1,028.8 ","991.8 38.7 1,030.5 ","",1.7 1.7
"Sub-Total Citizen Centred Services ""B"" ","5,693.1 85.3 5,778.4 ","5,722.1 89.0 5,811.1 ","",29.0 3.7 32.7
Internal Services,"","","",""
Office of the Chief Financial Officer ,102.0 1.0 103.0 ,101.0 2.0 103.0 ,"",(1.0) 1.0
